label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,1601,61,U,2,1,1.0,0.6454003683504321,0.6568390661455795
ceiling_growth_gt25,36,019,56,Z,4,1,0.0,0.5200541597945174,0.5032782191559846
ceiling_growth_gt25,36,049,61,U,4,1,0.0,0.0953100957074777,0.09223557649110745
ceiling_growth_gt25,36,036,56,Z,4,1,0.0,0.23480481116079258,0.22723046241367023
ceiling_growth_gt25,36,075,48,J,4,1,1.0,0.3058523298866661,0.3282441902129027
ceiling_growth_gt25,36,083,54,J,2,1,0.0,0.14637778973715987,0.1416559255520902
ceiling_growth_gt25,36,015,56,Z,2,1,0.0,0.20528521305086264,0.19866310940406062
ceiling_growth_gt25,36,088,61,J,4,1,0.0,0.10997962937698123,0.10643189939707862
ceiling_growth_gt25,36,071,48,J,0,1,0.0,0.25807105038130396,0.24974617778835867
ceiling_growth_gt25,36,581,54,Y,0,1,0.0,0.08464172072210571,0.08191134263429585
ceiling_growth_gt25,36,031,81,J,1,1,0.0,0.09790003593576349,0.09474197026041628
ceiling_growth_gt25,36,014,42,J,2,1,0.0,0.10871212550938264,0.10520528275101546
ceiling_growth_gt25,36,089,53,J,3,1,0.0,0.1561485420901436,0.15111149234530025
ceiling_growth_gt25,36,012,54,S,3,1,0.0,0.22388707439567648,0.21666491070549335
ceiling_growth_gt25,36,020,22,Y,3,1,0.0,0.1369929738322464,0.13257384564410943
ceiling_growth_gt25,36,089,51,J,0,1,0.0,0.2353947656615381,0.22780138612406914
ceiling_growth_gt25,36,014,48,K,4,1,0.0,0.269382250046959,0.26069250004544414
ceiling_growth_gt25,36,012,81,J,1,1,1.0,0.19437007575785648,0.22035813783018368
ceiling_growth_gt25,36,068,56,L,4,1,0.0,0.14645899358626754,0.1417345099221944
ceiling_growth_gt25,36,015,61,J,3,1,0.0,0.11477060459705435,0.11106832702940744
ceiling_growth_gt25,36,089,56,Z,1,1,1.0,0.23323740754428884,0.25797168472027954
ceiling_growth_gt25,36,1133,54,Y,1,1,0.0,0.11414339445085292,0.11046134946856734
ceiling_growth_gt25,36,031,54,U,2,1,0.0,0.07654343494002419,0.07407429187744276
ceiling_growth_gt25,36,075,52,U,3,1,1.0,0.35900007975333526,0.3796774965354857
ceiling_growth_gt25,36,3300,33,J,0,1,0.0,0.29292176745607607,0.2834726781832994
ceiling_growth_gt25,36,097,51,S,3,1,0.0,0.12824480214230846,0.12410787304094367
ceiling_growth_gt25,36,091,51,J,0,1,1.0,0.1388194082162834,0.16659942730608074
ceiling_growth_gt25,36,514,71,J,3,1,0.0,0.2791298344100603,0.27012564620328416
ceiling_growth_gt25,36,012,54,Y,0,1,1.0,0.2467139251487448,0.2710134759503982
ceiling_growth_gt25,36,1601,81,J,3,1,0.0,0.3548909120415489,0.3434428181047247
ceiling_growth_gt25,36,581,52,J,4,1,0.0,0.10375436733677475,0.10040745226139493
ceiling_growth_gt25,36,075,54,K,0,1,0.0,0.2209084405181823,0.2137823617917893
