projectid,txturl,http_status,text_bytes,text_sha256,status,cached
P035648,http://documents.worldbank.org/curated/en/424141468767962329/text/multi-page.txt,200,261115,8d4c35d1be8ae2d06b765580b69e75d072faa4a807a55e3e7be4ef57dcf52ab3,ok,True
P035655,http://documents.worldbank.org/curated/en/308471468027282736/text/177700Replacem1erA1998100101PUBLIC1.txt,200,289737,d81df256c1a55ce17db8bc3b0a9f845ae1c2060459777d09d46b83c5733db3cd,ok,True
P035672,http://documents.worldbank.org/curated/en/862301468768844770/text/multi-page.txt,200,291207,b36c8583840971c4e48659b21e86ebc66a7fbe27d5c427f735a4da7faa7abb38,ok,True
P035673,http://documents.worldbank.org/curated/en/718091468769798335/text/multi-page.txt,200,281144,ce6026ae7b98eaf3a331f8ac6cf57ec095a7317fc5358930e7875626356f56e8,ok,True
P035688,http://documents.worldbank.org/curated/en/349841468771563642/text/multi0page.txt,200,192791,22a85d2774caa117d6d7e226807c171b582885dc8be63bf81c0f71937651f51c,ok,True
P035689,http://documents.worldbank.org/curated/en/482211468775496517/text/multi0page.txt,200,321632,2f969314e2bedb31a2cd81351166b4f4b9c583118e7c9d3cb239baadd93e01d1,ok,True
P035698,http://documents.worldbank.org/curated/en/699531468769262352/text/multi-page.txt,200,301939,2d4d17ae8bffad70e03f94c4dbd34b0f19b8ad695eaecd14d13faf84a407fe27,ok,True
P035707,http://documents.worldbank.org/curated/en/797771468760510334/text/multi-page.txt,200,180068,c17df3e702e3b2ed212f8cabf67313d425928f97b5b83f44ce8d8c025819e65f,ok,True
P035728,http://documents.worldbank.org/curated/en/753561468770405889/text/multi-page.txt,200,265208,98a48f06c6ced793dc498286d52152eebdfd23a230517b781b1c0a1d71c24887,ok,True
P035730,http://documents.worldbank.org/curated/en/663981468758370772/text/multi0page.txt,200,190433,69f09d4566b5cca7d89195172a0512be9394f41ad32017198bcaa7864cddac50,ok,True
