projectid,icr_outratingind,iegapi_outcome,txturl,doc_icr,doc_ieg,note,api_matches_document,repaired_matches_document
P118410,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/151591495730492459/text/ICRR-Disclosable-P118410-05-25-2017-1495730486150.txt,Highly Satisfactory,Satisfactory,ok,True,True
P166220,Highly Satisfactory,Satisfactory,https://documents.worldbank.org/curated/en/099032525152528500/text/P166220-161575e6-b00b-4e57-8ad6-b972e3b4d311.txt,Highly Satisfactory,Satisfactory,ok,True,True
P163830,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/590701561659057102/text/Eastern-Africa-Somalia-Emergency-Drought-Response.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P131094,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/099205006092216710/text/P1310940e49b8a0cd0a4c305dbae602a603.txt,Highly Satisfactory,Satisfactory,ok,True,True
P174389,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/133851635864697190/text/Vietnam-Vietnam-COVID-19-Response.txt,Highly Satisfactory,Satisfactory,ok,True,True
P157858,Highly Satisfactory,Highly Satisfactory,https://documents.worldbank.org/curated/en/099021425085525372/text/P157858-f07eef68-4620-44b9-aae4-b51112b6978a.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P128867,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/305871619633524840/text/China-Jiangxi-Wuxikou-Flood-Management-Project.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P082144,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/968421496155224623/text/ICRR-Disclosable-P082144-05-30-2017-1496155211923.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P096926,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/527931489674742016/text/ICRR-Disclosable-P096926-03-16-2017-1489674725863.txt,Highly Satisfactory,Satisfactory,ok,True,True
P173943,Highly Satisfactory,Satisfactory,https://documents.worldbank.org/curated/en/099021425103520204/text/P173943-594240c2-796b-4b0c-80b6-a58ce6d8637c.txt,Highly Satisfactory,Satisfactory,ok,True,True
P117355,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/978771607987150170/text/Djibouti-DJ-Rural-CDD-Water-Mobilization.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P145897,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099700012272237364/text/P1458970c39fbc03c0b4f90fcb140b39e67.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P128919,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/099350105182242596/text/P1289190ad05410310b379051005444acb8.txt,Highly Satisfactory,Satisfactory,ok,True,True
P174033,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/099745211152235105/text/P174033063d7270dc0ad5008d3baa98135d.txt,Highly Satisfactory,Satisfactory,ok,True,True
P148291,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099012324141534914/text/P14829114a958f01f1be2919cbf336902f2.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P151281,Highly Satisfactory,Highly Satisfactory,http://documents.worldbank.org/curated/en/099102023134036841/text/P1512810b2b6ef02a0a1c40d12c3266c91a.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P154278,Highly Satisfactory,Satisfactory,https://documents.worldbank.org/curated/en/099051225155511886/text/P154278-799d7298-b478-48d3-a73d-de3533a71276.txt,Highly Satisfactory,Satisfactory,ok,True,True
P133069,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/099215012102112702/text/China000Shaanx0Infrastructure0Proje.txt,Highly Satisfactory,Satisfactory,ok,True,True
P163531,Highly Satisfactory,Highly Satisfactory,https://documents.worldbank.org/curated/en/099022825164033785/text/P163531-18e61f5e-2a44-4a92-b4dc-7b837d2e9837.txt,Highly Satisfactory,Highly Satisfactory,ok,True,True
P143408,Highly Satisfactory,Satisfactory,http://documents.worldbank.org/curated/en/346121636636911874/text/Samoa-Samoa-Aviation-Investment-Project.txt,Highly Satisfactory,Satisfactory,ok,True,True
P126735,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/193301526393407556/text/Brazil-Strengthening-PM-and-Int-Territorial-Dev.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P092353,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/771401551796450092/text/Ethiopia-ET-Irrigation-Drainage-SIL-FY07.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P092999,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/264421471039043736/text/ICRR0020092-REVISED-PUBLIC-Final-ICRR-P092999.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P105403,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/501051498140357266/text/ICRR-Disclosable-P105403-06-22-2017-1498140343735.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P125799,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/631781516889734820/text/Morocco-MA-Judicial-Performance-Enhancement.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P126791,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/212481543249370447/text/Antigua-and-Barbuda-AG-Pub-Soc-Sctr-Transformation.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P131027,Highly Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/880221525389649223/text/Congo-Democratic-Republic-of-ZR-Inga-3-and-Mid-Size-Hydro-Dev-TA.txt,Highly Unsatisfactory,Highly Unsatisfactory,ok,True,True
P116783,Moderately Satisfactory,Moderately Satisfactory,http://documents.worldbank.org/curated/en/809841468332416745/text/ICRR-Disclosable-P116783-03-14-2016-1457971738725.txt,Moderately Satisfactory,Moderately Satisfactory,ok,True,True
