projectid,txturl
P039084,http://documents.worldbank.org/curated/en/568901468770929573/text/multi0page.txt
P039086,http://documents.worldbank.org/curated/en/527241468776379830/text/multi-page.txt
P039161,http://documents.worldbank.org/curated/en/747261468770684181/text/multi-page.txt
P039171,http://documents.worldbank.org/curated/en/244851468782359416/text/multi-page.txt
P039199,http://documents.worldbank.org/curated/en/252311468770138440/text/multi-page.txt
P039200,http://documents.worldbank.org/curated/en/507461468769769798/text/multi-page.txt
P039203,http://documents.worldbank.org/curated/en/773951468781742084/text/multi-page.txt
P039251,http://documents.worldbank.org/curated/en/711001468758987797/text/multi-page.txt
P039292,http://documents.worldbank.org/curated/en/663571468768616264/text/multi0page.txt
P039437,http://documents.worldbank.org/curated/en/260511468746684165/text/multi0page.txt
P039644,http://documents.worldbank.org/curated/en/202121468752344435/text/multi-page.txt
P039749,http://documents.worldbank.org/curated/en/466121468773744158/text/multi-page.txt
P039882,http://documents.worldbank.org/curated/en/259061468743355428/text/multi-page.txt
P039929,http://documents.worldbank.org/curated/en/566501468771082073/text/multi-page.txt
P039983,http://documents.worldbank.org/curated/en/833321468757773168/text/multi-page.txt
P040061,http://documents.worldbank.org/curated/en/257861468771714956/text/multi-page.txt
P040085,http://documents.worldbank.org/curated/en/864121468768630769/text/multi0page.txt
P040086,http://documents.worldbank.org/curated/en/144631468746757346/text/multi0page.txt
P040102,http://documents.worldbank.org/curated/en/892101468746392337/text/multi0page.txt
P040106,http://documents.worldbank.org/curated/en/209791468751789138/text/multi0page.txt
P040108,http://documents.worldbank.org/curated/en/168951468760229089/text/multi-page.txt
P040109,http://documents.worldbank.org/curated/en/450041468770457585/text/multi0page.txt
P040110,http://documents.worldbank.org/curated/en/399481468743363497/text/multi-page.txt
P040139,http://documents.worldbank.org/curated/en/873151468746728189/text/multi-page.txt
P040150,http://documents.worldbank.org/curated/en/971601468743930018/text/multi-page.txt
P040174,http://documents.worldbank.org/curated/en/280721468779128231/text/multi-page.txt
P040177,http://documents.worldbank.org/curated/en/436401468771553325/text/267800PAD1P04017701public1.txt
P040179,http://documents.worldbank.org/curated/en/954551468757803327/text/multi0page.txt
P040195,http://documents.worldbank.org/curated/en/873971468771707250/text/multi-page.txt
P040196,http://documents.worldbank.org/curated/en/558101468752104347/text/multi-page.txt
P040197,http://documents.worldbank.org/curated/en/820821468760231572/text/multi-page.txt
P040198,http://documents.worldbank.org/curated/en/377121468774872676/text/multi0page.txt
P040199,http://documents.worldbank.org/curated/en/419061468761379650/text/multi0page.txt
P040503,http://documents.worldbank.org/curated/en/162801468762310492/text/multi-page.txt
P040506,http://documents.worldbank.org/curated/en/688721468762309757/text/multi-page.txt
P040528,http://documents.worldbank.org/curated/en/980191468756283582/text/multi0page.txt
P040551,http://documents.worldbank.org/curated/en/793391468765310666/text/multi0page.txt
P040555,http://documents.worldbank.org/curated/en/991441468770695872/text/multi0page.txt
P040556,http://documents.worldbank.org/curated/en/942411468749732039/text/multi-page.txt
P040558,http://documents.worldbank.org/curated/en/276431468774294399/text/242020rev.txt
P040566,http://documents.worldbank.org/curated/en/225371468773759337/text/multi-page.txt
P040578,http://documents.worldbank.org/curated/en/153141468771376086/text/multi0page.txt
P040599,https://documents.worldbank.org/curated/en/854031468743975422/text/IBArchive-7838b510-0a9d-4e10-b876-a86a802a7006.txt
P040610,http://documents.worldbank.org/curated/en/661181468771673975/text/multi0page.txt
P040612,http://documents.worldbank.org/curated/en/273221468779978360/text/multi-page.txt
P040613,http://documents.worldbank.org/curated/en/591851468775534240/text/296510NP.txt
P040650,http://documents.worldbank.org/curated/en/273491468760234690/text/multi-page.txt
P040652,http://documents.worldbank.org/curated/en/122341468776969402/text/multi-page.txt
P040653,http://documents.worldbank.org/curated/en/199581468280730417/text/312050MALI0corrigendum0Box10901PUBLIC1.txt
P040659,http://documents.worldbank.org/curated/en/848471468770983289/text/multi-page.txt
P040712,http://documents.worldbank.org/curated/en/492541468206346512/text/28924.txt
P040713,http://documents.worldbank.org/curated/en/892661468743384296/text/multi0page.txt
P040716,http://documents.worldbank.org/curated/en/622281468742839155/text/multi0page.txt
P040795,http://documents.worldbank.org/curated/en/923881468760158043/text/multi0page.txt
P040858,http://documents.worldbank.org/curated/en/960861468744289085/text/multi-page.txt
P040907,http://documents.worldbank.org/curated/en/244541468756954277/text/multi0page.txt
P040975,http://documents.worldbank.org/curated/en/914521468768336907/text/multi-page.txt
P040990,http://documents.worldbank.org/curated/en/686831468742461406/text/multi-page.txt
P041199,http://documents.worldbank.org/curated/en/794331468766461804/text/multi-page.txt
P041264,http://documents.worldbank.org/curated/en/484141468771697873/text/multi-page.txt
P041268,http://documents.worldbank.org/curated/en/356571468746381213/text/multi-page.txt
P041280,http://documents.worldbank.org/curated/en/108351468761108223/text/multi0page.txt
P041396,http://documents.worldbank.org/curated/en/349641468323669725/text/36485.txt
P041410,http://documents.worldbank.org/curated/en/216751468773401292/text/multi-page.txt
P041442,http://documents.worldbank.org/curated/en/283451468768669635/text/multi0page.txt
P041528,http://documents.worldbank.org/curated/en/203031468763827831/text/multi-page.txt
P041566,http://documents.worldbank.org/curated/en/414711468781476229/text/multi-page.txt
P041568,http://documents.worldbank.org/curated/en/944381468771060136/text/multi-page.txt
P041642,http://documents.worldbank.org/curated/en/302761468770432588/text/multi0page.txt
P041680,http://documents.worldbank.org/curated/en/597881468744298443/text/multi0page.txt
P041723,http://documents.worldbank.org/curated/en/261341468774675880/text/multi-page.txt
P041807,http://documents.worldbank.org/curated/en/467301468761950027/text/multi0page.txt
P041887,http://documents.worldbank.org/curated/en/825851468743382535/text/multi-page.txt
P041890,http://documents.worldbank.org/curated/en/256111468744043966/text/multi-page.txt
P041895,http://documents.worldbank.org/curated/en/133141468755950582/text/multi-page.txt
P041994,http://documents.worldbank.org/curated/en/336461468779161575/text/multi0page.txt
P042014,http://documents.worldbank.org/curated/en/544661468746750095/text/multi0page.txt
P042039,http://documents.worldbank.org/curated/en/924061468773962703/text/multi-page.txt
P042109,http://documents.worldbank.org/curated/en/421971468746371234/text/multi-page.txt
P042237,http://documents.worldbank.org/curated/en/176911468753299536/text/multi-page.txt
P042299,http://documents.worldbank.org/curated/en/628901468770498983/text/multi-page.txt
P042568,http://documents.worldbank.org/curated/en/633501468779402279/text/multi-page.txt
P042722,http://documents.worldbank.org/curated/en/867391468762943753/text/multi-page.txt
P042927,http://documents.worldbank.org/curated/en/212451468780327164/text/multi-page.txt
P042940,http://documents.worldbank.org/curated/en/355161468741586205/text/multi-page.txt
P043124,http://documents.worldbank.org/curated/en/798941468770065161/text/multi0page.txt
P043178,http://documents.worldbank.org/curated/en/122541468768314223/text/multi-page.txt
P043195,http://documents.worldbank.org/curated/en/225421468746815100/text/253711Croatia01ateway01r20031012711.txt
P043254,http://documents.worldbank.org/curated/en/608341468764124012/text/multi0page.txt
P043255,http://documents.worldbank.org/curated/en/825581468766492804/text/multi-page.txt
P043311,http://documents.worldbank.org/curated/en/302681468758093246/text/236311NP1Power0Dev10Project01PAD.txt
P043412,http://documents.worldbank.org/curated/en/213971468280459864/text/30721A.txt
P043418,http://documents.worldbank.org/curated/en/713091468767402890/text/multi0page.txt
P043420,http://documents.worldbank.org/curated/en/841441468743772422/text/multi-page.txt
P043444,http://documents.worldbank.org/curated/en/367181468770702078/text/multi0page.txt
P043700,http://documents.worldbank.org/curated/en/879181468778502279/text/multi-page.txt
P043724,http://documents.worldbank.org/curated/en/543581468768694290/text/multi-page.txt
P043736,http://documents.worldbank.org/curated/en/105461468770690571/text/multi-page.txt
P043868,http://documents.worldbank.org/curated/en/127661468743683235/text/multi0page.txt
P043869,http://documents.worldbank.org/curated/en/988291468769492388/text/multi0page.txt
P043873,http://documents.worldbank.org/curated/en/972191468769727746/text/multi0page.txt
P043874,http://documents.worldbank.org/curated/en/165871468743369557/text/multi0page.txt
P043881,http://documents.worldbank.org/curated/en/318751468759295696/text/262730RO0PAD.txt
P043882,http://documents.worldbank.org/curated/en/269021468759025283/text/multi-page.txt
P043933,http://documents.worldbank.org/curated/en/615651468746348686/text/multi-page.txt
P044140,http://documents.worldbank.org/curated/en/171881468744028762/text/multi-page.txt
P044213,http://documents.worldbank.org/curated/en/339211468760214943/text/multi-page.txt
P044305,https://documents.worldbank.org/curated/en/234181468743694143/text/IBArchive-c568f59e-dd2a-480f-8157-cf747605158a.txt
P044325,http://documents.worldbank.org/curated/en/363211468765555734/text/multi-page.txt
