projectid,id,docdt,reject_reason
P127163,19705497,2013-04-29T04:00:00Z,same_date_duplicate_or_translation
P127203,17191669,2012-08-27T04:00:00Z,same_date_duplicate_or_translation
P127245,18821604,2013-05-08T04:00:00Z,same_date_duplicate_or_translation
P127306,17112344,2012-10-03T04:00:00Z,same_date_duplicate_or_translation
P127463,19210044,2013-10-28T04:00:00Z,same_date_duplicate_or_translation
P127723,18155644,2013-05-14T04:00:00Z,same_date_duplicate_or_translation
P127743,17480793,2012-09-17T04:00:00Z,same_date_duplicate_or_translation
P127861,19942263,2012-11-06T05:00:00Z,same_date_duplicate_or_translation
P128654,25169602,2015-06-11T04:00:00Z,later_version_within_grace_window
P129326,16941193,2012-06-08T04:00:00Z,same_date_duplicate_or_translation
P129397,18505139,2013-06-06T04:00:00Z,later_version_within_grace_window
P129647,18940070,2013-10-25T04:00:00Z,same_date_duplicate_or_translation
P129774,17427209,2013-02-19T05:00:00Z,same_date_duplicate_or_translation
P130013,20270983,2013-05-17T04:00:00Z,same_date_duplicate_or_translation
P130343,19203334,2013-05-01T04:00:00Z,same_date_duplicate_or_translation
P130637,25194620,2014-06-27T04:00:00Z,same_date_duplicate_or_translation
P130819,17368678,2012-11-15T05:00:00Z,same_date_duplicate_or_translation
P130853,25730165,2013-01-18T05:00:00Z,same_date_duplicate_or_translation
P131029,18063925,2012-11-14T05:00:00Z,same_date_duplicate_or_translation
P131094,17457875,2012-11-07T05:00:00Z,same_date_duplicate_or_translation
P131120,17816580,2013-05-02T04:00:00Z,same_date_duplicate_or_translation
P131202,19268950,2013-07-05T04:00:00Z,same_date_duplicate_or_translation
P131256,26082015,2014-09-04T04:00:00Z,same_date_duplicate_or_translation
P131550,19258764,2013-11-21T05:00:00Z,same_date_duplicate_or_translation
P131709,18836357,2013-10-21T04:00:00Z,same_date_duplicate_or_translation
P132116,19925263,2013-08-05T04:00:00Z,same_date_duplicate_or_translation
P132157,24768986,2014-05-21T04:00:00Z,same_date_duplicate_or_translation
P132268,18928236,2013-02-04T05:00:00Z,later_version_within_grace_window
