column,dtype,non_null,distinct,known_at_board_approval,source,observed_values_if_few
boardapprovaldate,datetime64[us],4253,1827,True,derived in src/dataset.py or Projects API scalar field,
pad_doc_id,str,4253,4231,False,Documents and Reports API (qualifying PAD record),
pad_docdt,str,4253,2613,False,Documents and Reports API (qualifying PAD record),
pad_guid,str,4253,4231,False,Documents and Reports API (qualifying PAD record),
pad_txturl,str,4251,4229,False,Documents and Reports API (qualifying PAD record),
pad_pdfurl,str,4251,4229,False,Documents and Reports API (qualifying PAD record),
pad_url,str,4253,4231,False,Documents and Reports API (qualifying PAD record),
pad_display_title,str,4253,4226,False,Documents and Reports API (qualifying PAD record),
pad_repnb,str,4253,4231,False,Documents and Reports API (qualifying PAD record),
pad_lang,str,4253,2,False,Documents and Reports API (qualifying PAD record),English; French
pad_versiontyp,str,4250,8,False,Documents and Reports API (qualifying PAD record),Buff; Buff Cover; Buff cover; Final; Gray cover; Revised; Revised buff cover; corrigendum buff cover
pad_disclstat,str,2861,1,False,Documents and Reports API (qualifying PAD record),Disclosed
pad_seccl,str,4253,1,False,Documents and Reports API (qualifying PAD record),Public
pad_abstract,str,4249,4227,False,Documents and Reports API (qualifying PAD record),
pad_sectr,str,4253,397,False,Documents and Reports API (qualifying PAD record),
pad_theme,str,4253,3313,False,Documents and Reports API (qualifying PAD record),
pad_country_field,str,4253,186,False,Documents and Reports API (qualifying PAD record),
pad_admreg,str,4230,15,False,Documents and Reports API (qualifying PAD record),
pad_datestored,str,4253,2126,False,Documents and Reports API (qualifying PAD record),
pad_disclosure_date,str,4253,1348,False,Documents and Reports API (qualifying PAD record),
project_name,str,4253,4140,True,derived in src/dataset.py or Projects API scalar field,
regionname,str,4253,9,True,derived in src/dataset.py or Projects API scalar field,"Africa; East Asia and Pacific; Eastern and Southern Africa; Europe and Central Asia; Latin America and Caribbean; Middle East, North Africa, Afghanistan, and Pakistan; Other; South Asia; Western and Central Africa"
countryname,str,4253,166,True,derived in src/dataset.py or Projects API scalar field,
countryshortname,str,4253,166,False,derived in src/dataset.py or Projects API scalar field,
countrycode,str,4253,166,True,derived in src/dataset.py or Projects API scalar field,
boardapprovaldate_exact,str,4253,1827,False,derived in src/dataset.py or Projects API scalar field,
closingdate,str,4253,682,False,derived in src/dataset.py or Projects API scalar field,
loan_effective_date,str,4218,2913,False,derived in src/dataset.py or Projects API scalar field,
public_disclosure_date,str,4253,2612,False,derived in src/dataset.py or Projects API scalar field,
fiscalyear,str,4253,27,True,derived in src/dataset.py or Projects API scalar field,
status,str,4253,2,False,derived in src/dataset.py or Projects API scalar field,Active; Closed
last_stage_reached_name,str,4253,2,False,derived in src/dataset.py or Projects API scalar field,Board Approved; RVP Approved
prodline_exact,str,4253,6,True,derived in src/dataset.py or Projects API scalar field,GE; GU; MT; PE; RE; SF
projectfinancialtype_exact,str,4250,102,False,derived in src/dataset.py or Projects API scalar field,
envassesmentcategorycode,str,4156,6,True,derived in src/dataset.py or Projects API scalar field,A; B; C; F; H; U
esrc_ovrl_risk_rate,str,69,4,False,derived in src/dataset.py or Projects API scalar field,H; L; M; S
lendprojectcost,float64,4253,2572,True,derived in src/dataset.py or Projects API scalar field,
curr_project_cost,float64,4253,2572,False,derived in src/dataset.py or Projects API scalar field,
