label,horizon,vehicle,n_holders,oracle_gap,recovered_gap,train_gap,n_test_orders
schedule_slip_gt90,24,SOL|9700|N6554012R0018,2,0.13970588235294118,-0.13970588235294118,0.013041210224308819,25
schedule_slip_gt90,24,SOL|9700|N6554013R0052,6,0.46666666666666673,0.30303030303030304,0.19999999999999996,44
schedule_slip_gt90,24,SOL|9700|W52P1J11R0171,15,0.3888888888888889,0.2727272727272727,0.45454545454545453,832
schedule_slip_gt90,24,SOL|9700|W52P1J13R0098,2,0.0,0.0,0.09090909090909091,13
schedule_slip_gt90,24,SOL|9700|W90FYQ14R0001,3,0.380952380952381,0.0672268907563025,0.43333333333333335,27
schedule_slip_gt90,24,SOL|9700|W9124D14R0004,3,0.5,-0.5,0.36666666666666664,16
schedule_slip_gt90,24,SOL|9700|W9127815R0044,2,0.36363636363636365,-0.36363636363636365,0.16666666666666663,15
schedule_slip_gt90,24,SOL|9700|W912DY12R0025,4,0.33333333333333337,-0.25,0.19736842105263153,19
schedule_slip_gt90,36,SOL|3600|VA11815R0558,12,0.33333333333333337,0.125,0.4444444444444444,77
schedule_slip_gt90,36,SOL|4730|3FNJC1000001B,3,0.39999999999999997,0.14545454545454545,0.6428571428571428,21
schedule_slip_gt90,36,SOL|4730|3QSAJB100001B,2,0.16666666666666669,-0.16666666666666669,0.4,10
schedule_slip_gt90,36,SOL|4730|47QSMD20R0001,2,0.5222222222222223,-0.5222222222222223,0.1186868686868687,39
schedule_slip_gt90,36,SOL|4730|7FCBC4070066B,3,0.06060606060606061,0.06060606060606061,0.14393939393939395,45
schedule_slip_gt90,36,SOL|4730|7FCIL3030084B,2,0.6,0.6,0.42500000000000004,10
schedule_slip_gt90,36,SOL|4730|FCISJB980001B,13,1.0,0.25,0.6545454545454545,93
schedule_slip_gt90,36,SOL|4730|FCO00CORP0000C,5,0.8,0.8,0.39999999999999997,20
schedule_slip_gt90,36,SOL|4730|FFAHC2990235B,3,0.3333333333333333,0.25,0.08108108108108109,15
