variant,label,horizon,key,group,n_train,resid_train,n_test,resid_test,y_test,p_test
shape_office,schedule_slip_gt90,24,recipient_uei,CYLWLLJF1W77,17,0.0641546868773768,10,0.08675536044629564,0.9,0.8132446395537043
shape_office,schedule_slip_gt90,24,recipient_uei,D1LRKHNWT971,6,0.16308048952666307,13,0.14602409146211504,0.6153846153846154,0.4693605239225004
shape_office,schedule_slip_gt90,24,recipient_uei,D27FSZD2L2U9,32,-0.037258703113467004,21,-0.039589870347476644,0.38095238095238093,0.4205422512998576
shape_office,schedule_slip_gt90,24,recipient_uei,D326SAUMGXF6,13,-0.10125686186599915,3,0.35963498905946994,0.6666666666666666,0.3070316776071967
shape_office,schedule_slip_gt90,24,recipient_uei,D33QGS3Q3DJ3,5,-0.43573174002643567,3,0.22498199633492863,1.0,0.7750180036650715
shape_office,schedule_slip_gt90,24,recipient_uei,D3LHU66KBLD5,13,0.05477122189917162,10,0.15701599966055044,0.6,0.44298400033944957
shape_office,schedule_slip_gt90,24,recipient_uei,D4N8K3L9E824,9,-0.015890882728967208,4,0.46581978274909003,0.75,0.28418021725090997
shape_office,schedule_slip_gt90,24,recipient_uei,D6BCWJLLFPB9,19,0.013543722616433732,8,0.17809309928728395,0.625,0.44690690071271605
shape_office,schedule_slip_gt90,24,recipient_uei,D78ESM2SDJV6,15,-0.0014996147452140756,12,0.0724096576748635,0.3333333333333333,0.2609236756584698
shape_office,schedule_slip_gt90,24,recipient_uei,D7Q7N93MJQL9,6,-0.00048695493733693463,8,-0.0002107677978572341,0.0,0.0002107677978572341
shape_office,schedule_slip_gt90,24,recipient_uei,D84HF9BK2WY7,5,-0.20661004476800854,3,-0.48130916505583476,0.0,0.48130916505583476
shape_office,schedule_slip_gt90,24,recipient_uei,D8HJPMFFSGS3,52,-0.032604513990530576,13,-0.13327048651786477,0.23076923076923078,0.36403971728709555
shape_office,schedule_slip_gt90,24,recipient_uei,D8LDZVAZU3H9,12,0.09203744243160199,6,-0.018112081895083162,0.16666666666666666,0.18477874856174983
shape_office,schedule_slip_gt90,24,recipient_uei,D8MVW9XGUS26,11,-0.04864701427413932,6,0.08522542828340461,1.0,0.9147745717165954
shape_office,schedule_slip_gt90,24,recipient_uei,D8WPNBKXRHB4,5,0.16071370759014192,5,0.34073328020372895,1.0,0.659266719796271
shape_office,schedule_slip_gt90,24,recipient_uei,D9EVNTKKWLF3,11,0.06241762034708062,6,-0.07081050008464916,0.3333333333333333,0.4041438334179825
shape_office,schedule_slip_gt90,24,recipient_uei,D9P7CUAJBG55,19,-0.026539295966686447,3,0.45297948023911827,0.6666666666666666,0.2136871864275484
shape_office,schedule_slip_gt90,24,recipient_uei,DA91DUWSMSQ7,63,0.08464958985010934,50,0.06052801288526565,0.62,0.5594719871147343
shape_office,schedule_slip_gt90,24,recipient_uei,DAEVLK3A7XF5,8,-0.06913429208348448,5,0.33593006898917305,1.0,0.6640699310108269
shape_office,schedule_slip_gt90,24,recipient_uei,DBNHWEJNBRM7,10,-0.22311899782283112,4,0.2702148340085735,0.75,0.47978516599142645
shape_office,schedule_slip_gt90,24,recipient_uei,DC9UXK381JR5,37,-0.07970169272253,6,0.03816408940012117,0.3333333333333333,0.29516924393321214
shape_office,schedule_slip_gt90,24,recipient_uei,DD1BYN8SN355,118,-0.02134832779971712,40,-0.06078806126978668,0.45,0.5107880612697867
shape_office,schedule_slip_gt90,24,recipient_uei,DD2QET4D27T3,55,0.01881414170694831,12,-0.1885791315345402,0.3333333333333333,0.5219124648678736
shape_office,schedule_slip_gt90,24,recipient_uei,DD7KTEMDG6A5,31,-0.029125380755500287,31,-0.12617110457295505,0.3870967741935484,0.5132678787665034
shape_office,schedule_slip_gt90,24,recipient_uei,DE6GE5DKR135,7,-0.00046146700013959143,13,-0.0007628499244397488,0.0,0.0007628499244397488
shape_office,schedule_slip_gt90,24,recipient_uei,DEJKZ3HJGFA5,5,-0.0006250932406977886,6,-0.00024472733118845717,0.0,0.00024472733118845717
shape_office,schedule_slip_gt90,24,recipient_uei,DELENYZCZKA4,29,0.03958870251885967,9,-0.022254955068724422,0.3333333333333333,0.35558828840205775
shape_office,schedule_slip_gt90,24,recipient_uei,DFUTTHKLBR85,11,0.1670187165886286,6,0.0336739558872099,0.16666666666666666,0.13299271077945676
