forecast,outcome,outcome_label,scale,brier,reliability,resolution,uncertainty,base_rate,n,n_bins,skill_vs_base_rate,decomposition_residual,brier_perfectly_recalibrated
base rate (in sample),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.11154678204434829,0.0,0.0,0.1115467820443483,0.12790697674418605,602,1,1.1102230246251565e-16,-1.3877787807814457e-17,0.1115467820443483
climatology (prior snapshots only),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.10681097026137497,0.0014446156813193412,0.0005788933538286534,0.1059452479338843,0.12045454545454545,440,3,-0.008171412539719869,-1.3877787807814457e-17,0.10536635458005564
published DCA (climatology rows),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.24630113636363637,0.1426017548722138,0.0022458664424617287,0.1059452479338843,0.12045454545454545,440,2,-1.3247964506849983,0.0,0.10369938149142256
persistence (previous DCA),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.2731267029972752,0.16595833901692214,0.0004128044892324084,0.10758116846958549,0.1226158038147139,367,3,-1.5387965838509317,0.0,0.10716836398035308
published DCA (persistence rows),worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,0.2461376021798365,0.14100088260170004,0.002444448891449018,0.10758116846958549,0.1226158038147139,367,2,-1.287924603174603,-2.7755575615628914e-17,0.10513671957813647
published DCA,permanent_exit_next,Left the portfolio and did not return,five_point,0.34375952743902444,0.16953700974116817,0.021380453004106896,0.1956029707019631,0.26676829268292684,1312,5,-0.7574351054351056,5.551115123125783e-17,0.1742225176978562
base rate (in sample),permanent_exit_next,Left the portfolio and did not return,five_point,0.1956029707019631,0.0,0.0,0.1956029707019631,0.26676829268292684,1312,1,0.0,0.0,0.1956029707019631
climatology (prior snapshots only),permanent_exit_next,Left the portfolio and did not return,five_point,0.19535838853612225,0.013286249707658293,0.010110990752940356,0.1921831295814043,0.2595486111111111,1152,8,-0.016522048327727967,2.7755575615628914e-17,0.18207213882846393
published DCA (climatology rows),permanent_exit_next,Left the portfolio and did not return,five_point,0.34942925347222226,0.18071310903677687,0.023466985145958966,0.1921831295814043,0.2595486111111111,1152,5,-0.8182098201507961,5.551115123125783e-17,0.16871614443544533
persistence (previous DCA),permanent_exit_next,Left the portfolio and did not return,five_point,0.3330348101265823,0.14406482084488015,0.008536820524418695,0.19750680980612081,0.2708860759493671,790,5,-0.6861940631490138,5.551115123125783e-17,0.1889699892817021
published DCA (persistence rows),permanent_exit_next,Left the portfolio and did not return,five_point,0.3496867088607595,0.18117965632065577,0.028999757266017136,0.19750680980612081,0.2708860759493671,790,5,-0.7705045674325024,0.0,0.16850705254010367
published DCA,permanent_exit_next,Left the portfolio and did not return,three_point,0.31282887077997673,0.18211658046226284,0.011131719759791886,0.14184401007750572,0.17112922002328287,859,3,-1.2054429412214325,5.551115123125783e-17,0.13071229031771384
base rate (in sample),permanent_exit_next,Left the portfolio and did not return,three_point,0.14184401007750574,3.0814879110195774e-33,0.0,0.14184401007750572,0.17112922002328287,859,1,-2.220446049250313e-16,2.7755575615628914e-17,0.14184401007750572
climatology (prior snapshots only),permanent_exit_next,Left the portfolio and did not return,three_point,0.1543978125957921,0.005410866180212762,0.0021955127392611303,0.15118245915484047,0.1856474258970359,641,3,-0.02126803240882924,0.0,0.14898694641557933
published DCA (climatology rows),permanent_exit_next,Left the portfolio and did not return,three_point,0.31735179407176284,0.1805423865102752,0.014373051593352806,0.15118245915484047,0.1856474258970359,641,3,-1.0991310489713122,0.0,0.13680940756148766
persistence (previous DCA),permanent_exit_next,Left the portfolio and did not return,three_point,0.2982051282051282,0.14724551256087123,0.0032353956936115266,0.15419501133786848,0.19047619047619047,546,3,-0.933947963800905,0.0,0.15095961564425694
published DCA (persistence rows),permanent_exit_next,Left the portfolio and did not return,three_point,0.3246794871794872,0.1869949494949495,0.016510473653330797,0.15419501133786848,0.19047619047619047,546,3,-1.1056419683257919,5.551115123125783e-17,0.13768453768453767
