publication_slug,publication_year,department_slug,local_path,snapshot_date,n_rows,layout,n_mapped,n_unmapped,date_order,error,snapshot_source,snapshot_crosscheck
hm-revenue-customs-government-major-projects-portfolio-data-2016,2016,hm-revenue-customs,2016/hm-revenue-customs/HMRC_Government_Major_Projects_Portfolio_data_September_2015.csv,2015-09-30,3,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dclg-government-major-projects-portfolio-data-2014,2014,dclg,2014/dclg/DCLG_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,3,transposed,15,0,day_first,,"publication statement (title, filename or body)",
fcdo-government-major-projects-portfolio-data-2024,2024,fcdo,2024/fcdo/FCDO_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,3,wide,19,0,day_first,,"publication statement (title, filename or body)",
bis-government-major-projects-portfolio-data-2016,2016,bis,2016/bis/bis-gmpp-data-september-2015.csv,2015-09-30,5,transposed,14,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-hmrc-2013,2013,hmrc,2013/hmrc/gmpp-data-HMRC-q2-2012-13.csv,2012-09-30,9,transposed,13,0,day_first,,publication-year table,
dclg-government-major-projects-portfolio-data-2015,2015,dclg,2015/dclg/DCLG_Government_Major_Projects_Portfolio_data_September_2014.csv,2014-09-30,2,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2017,2017,dcms,2017/dcms/DCMS_Major_Projects_Portofolio_Data__September_2016__CVS_.csv,2016-09-30,4,transposed,14,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-the-department-for-education-2013--2,2013,the-department-for-education,2013/the-department-for-education/gmpp-data-DfE-q2-2012-13.csv,2012-09-30,2,transposed,13,0,day_first,,publication-year table,
dfe-government-major-projects-portfolio-data-2016,2016,dfe,2016/dfe/DFE_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,3,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2018,2018,dcms,2018/dcms/csv-DCMS-government-major-projects-portofolio-data-september-2017.csv,2017-09-30,3,transposed,14,0,day_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2023,2023,hmt,2023/hmt/HMT_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2019,2019,dwp,2019/dwp/DWP_Government_Major_Projects_Portfolio_data_September_2018_.csv,2018-09-30,3,transposed,15,0,day_first,,"publication statement (title, filename or body)",
voa-government-major-projects-portfolio-data-2024,2024,voa,2024/voa/VOA_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,2,wide,19,0,day_first,,"publication statement (title, filename or body)",
dbt-government-major-projects-portfolio-data-2024,2024,dbt,2024/dbt/DBT_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2020,2020,defra,2020/defra/DEFRA_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,1,transposed,16,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2017,2017,fco,2017/fco/government-major-project-portfolio-data-september-2016.csv,2016-09-30,4,transposed,14,0,month_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2015,2015,hmt,2015/hmt/HMT_Government_Major_Projects_Portfolio_data__September_2014.csv,2014-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2024,2024,hmt,2024/hmt/HMT_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
nca-government-major-projects-portfolio-data-2023,2023,nca,2023/nca/NCA_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
nca-government-major-projects-portfolio-data-2024,2024,nca,2024/nca/NCA_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-the-foreign-and-commonwealth-office-2013,2013,the-foreign-and-commonwealth-office,2013/the-foreign-and-commonwealth-office/gmpp-data-FCO-q2-2012-13.csv,2012-09-30,6,transposed,13,0,day_first,,publication-year table,
hmlr-government-major-projects-portfolio-data-2023,2023,hmlr,2023/hmlr/HMLR_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
hmlr-government-major-projects-portfolio-data-2024,2024,hmlr,2024/hmlr/HMLR_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2014,2014,dfe,2014/dfe/DfE_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,2,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2020,2020,dwp,2020/dwp/DWP_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,3,transposed,16,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2019,2019,dfid,2019/dfid/DfID_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2019,2019,defra,2019/defra/DEFRA_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
voa-government-major-projects-portfolio-data-2023,2023,voa,2023/voa/VOA_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,1,wide,19,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2014,2014,dfid,2014/dfid/DFID-Government-Major-Projects-Portfolio-data-September-2013.csv,2013-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2022,2022,hmt,2022/hmt/HMT_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,1,wide,17,0,day_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2014,2014,hmt,2014/hmt/HMT_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2018,2018,dfid,2018/dfid/csv-dfid-government-major-project-portfolio-data-september-2017.csv,2017-09-30,1,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2017,2017,dfid,2017/dfid/DFID-Government-Major-Project-Portfolio-data-September-2016.csv,2016-09-30,1,transposed,14,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-hm-treasury-2013,2013,hm-treasury,2013/hm-treasury/gmpp-data-HMT-q2-2012-13_ELPS.csv,2012-09-30,2,transposed,13,0,day_first,,publication-year table,
hmlr-government-major-projects-portfolio-data-2021,2021,hmlr,2021/hmlr/HMLR_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,1,wide,16,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2016,2016,dfid,2016/dfid/DFID-Government-Major-Projects-Portfolio-data-September-2015.csv,2015-09-30,1,transposed,14,0,day_first,,"publication statement (title, filename or body)",
hmlr-government-major-projects-portfolio-data-2022,2022,hmlr,2022/hmlr/HMLR_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,1,wide,17,0,day_first,,"publication statement (title, filename or body)",
hmt-government-major-projects-portfolio-data-2021,2021,hmt,2021/hmt/HMT_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,1,wide,16,0,day_first,,"publication statement (title, filename or body)",
dfid-government-major-projects-portfolio-data-2015,2015,dfid,2015/dfid/DFID-Government-Major-Projects-Portfolio-data-September-2014.csv,2014-09-30,1,transposed,15,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-dfid-2013,2013,dfid,2013/dfid/gmpp-data-DfID-q2-2012-13a.csv,2012-09-30,1,transposed,13,0,day_first,,publication-year table,
defra-government-major-projects-portfolio-data-2018,2018,defra,2018/defra/csv-Defra_Government_Major_Project_Portfolio_data__September_2017.csv,2017-09-30,1,transposed,14,0,day_first,,"publication statement (title, filename or body)",
