label,model,bin,n,mean_forecast,observed
days_extended_gt90,"GBM lot, plus buyer history",1.0,3800,0.011032081174909983,0.02
days_extended_gt90,"GBM lot, plus buyer history",2.0,3800,0.017181592640884858,0.022894736842105263
days_extended_gt90,"GBM lot, plus buyer history",3.0,3800,0.024693934447481743,0.02763157894736842
days_extended_gt90,"GBM lot, plus buyer history",4.0,3800,0.034214600121659874,0.04263157894736842
days_extended_gt90,"GBM lot, plus buyer history",5.0,3800,0.04630461364108681,0.05157894736842105
days_extended_gt90,"GBM lot, plus buyer history",6.0,3800,0.06277426341514115,0.060526315789473685
days_extended_gt90,"GBM lot, plus buyer history",7.0,3800,0.08778399596188637,0.07921052631578947
days_extended_gt90,"GBM lot, plus buyer history",8.0,3800,0.13783456410399236,0.11552631578947369
days_extended_gt90,"GBM lot, plus buyer history",9.0,3800,0.3326211893016885,0.2847368421052632
days_extended_gt90,GBM plus the bidder's price,0.0,3800,0.005326629827599383,0.035526315789473684
days_extended_gt90,GBM plus the bidder's price,1.0,3800,0.010999289929385161,0.020789473684210528
days_extended_gt90,GBM plus the bidder's price,2.0,3800,0.017116692633449702,0.024736842105263158
days_extended_gt90,GBM plus the bidder's price,3.0,3800,0.024590463181005443,0.028157894736842104
days_extended_gt90,GBM plus the bidder's price,4.0,3800,0.03386166314011251,0.04
days_extended_gt90,GBM plus the bidder's price,5.0,3800,0.045535148534647636,0.049473684210526316
days_extended_gt90,GBM plus the bidder's price,6.0,3800,0.061768730525973814,0.05894736842105263
days_extended_gt90,GBM plus the bidder's price,7.0,3800,0.08732790233680372,0.07894736842105263
days_extended_gt90,GBM plus the bidder's price,8.0,3800,0.13738128496488405,0.12263157894736842
days_extended_gt90,GBM plus the bidder's price,9.0,3800,0.33577221384557293,0.2881578947368421
days_extended_gt90,GBM plus the bidder's price and history,0.0,3800,0.004517192438677748,0.015
days_extended_gt90,GBM plus the bidder's price and history,1.0,3800,0.009750199044291781,0.026842105263157896
days_extended_gt90,GBM plus the bidder's price and history,2.0,3800,0.015153142313150838,0.03105263157894737
days_extended_gt90,GBM plus the bidder's price and history,3.0,3800,0.021722722726295732,0.03710526315789474
days_extended_gt90,GBM plus the bidder's price and history,4.0,3800,0.029988168405777272,0.03921052631578947
days_extended_gt90,GBM plus the bidder's price and history,5.0,3800,0.04102164872633891,0.04657894736842105
days_extended_gt90,GBM plus the bidder's price and history,6.0,3800,0.056808425937643424,0.05973684210526316
days_extended_gt90,GBM plus the bidder's price and history,7.0,3800,0.0815237443105977,0.08394736842105263
days_extended_gt90,GBM plus the bidder's price and history,8.0,3800,0.13147308311388883,0.12052631578947369
days_extended_gt90,GBM plus the bidder's price and history,9.0,3800,0.3355947475854011,0.2873684210526316
value_growth_gt10,reference class,0.0,3844,0.00958691554187784,0.005202913631633715
value_growth_gt10,reference class,1.0,3868,0.022153052768873752,0.01809720785935884
value_growth_gt10,reference class,2.0,3920,0.034554469486250745,0.024744897959183672
value_growth_gt10,reference class,3.0,3766,0.04978317718212777,0.038502389803505045
value_growth_gt10,reference class,4.0,3729,0.06482468754615879,0.053901850362027354
value_growth_gt10,reference class,5.0,3910,0.07615213379128914,0.04833759590792839
