split,label,subset,predictor,n,base_rate,auc,auc_within_buyer,buyers_contributing,auc_within_cpv_year,cpv_year_cells_contributing
test 2021 only (pre-invasion),days_extended_gt90,winner has 10 or more prior wins,winner's price as a share of the expected value,9963,0.07437518819632641,0.5862524076234996,0.5528522694968255,182,0.5067473790126262,28
test 2021 only (pre-invasion),days_extended_gt90,winner has 10 or more prior wins,log lot value,9963,0.07437518819632641,0.7282776825118366,0.5325026058940585,182,0.6881112661884514,28
test 2021 only (pre-invasion),days_extended_gt90,buyer has 10 or more prior lots,buyer's as-of extension rate,14664,0.10822422258592472,0.647708360527936,0.5845558928783433,353,0.624326693952023,41
test 2021 only (pre-invasion),days_extended_gt90,buyer has 10 or more prior lots,winner's as-of extension rate,14664,0.10822422258592472,0.5681513727112625,0.4623734332864097,353,0.5710950118646434,41
test 2021 only (pre-invasion),days_extended_gt90,buyer has 10 or more prior lots,winner's as-of win rate,14664,0.10822422258592472,0.49448386246380616,0.5147300758128254,353,0.4914211898542344,41
test 2021 only (pre-invasion),days_extended_gt90,buyer has 10 or more prior lots,winner's price as a share of the expected value,14664,0.10822422258592472,0.5297113953371718,0.5900086497854514,353,0.5054662106921375,41
test 2021 only (pre-invasion),days_extended_gt90,buyer has 10 or more prior lots,log lot value,14664,0.10822422258592472,0.7251421576018232,0.6011770492359356,353,0.7386192272029353,41
test 2021 only (pre-invasion),value_growth_gt10,all test lots,buyer's as-of extension rate,29070,0.062229102167182665,0.41884043582632186,0.5914509331727875,640,0.4440086204741787,40
test 2021 only (pre-invasion),value_growth_gt10,all test lots,winner's as-of extension rate,29070,0.062229102167182665,0.5010981615405846,0.5243467790487658,640,0.5238761402776685,40
test 2021 only (pre-invasion),value_growth_gt10,all test lots,winner's as-of win rate,29070,0.062229102167182665,0.5000811920896762,0.4956652618904275,640,0.489282027953132,40
test 2021 only (pre-invasion),value_growth_gt10,all test lots,winner's price as a share of the expected value,29070,0.062229102167182665,0.5167469229384261,0.5544009632751354,640,0.5242680398103623,40
test 2021 only (pre-invasion),value_growth_gt10,all test lots,log lot value,29070,0.062229102167182665,0.49271902230286274,0.5259121011438892,640,0.5286716802794419,40
test 2021 only (pre-invasion),value_growth_gt10,winner has 10 or more prior wins,buyer's as-of extension rate,10005,0.061169415292353826,0.42345485339172756,0.5780816854555535,217,0.4617391381948239,25
test 2021 only (pre-invasion),value_growth_gt10,winner has 10 or more prior wins,winner's as-of extension rate,10005,0.061169415292353826,0.48033535959541557,0.56967288856034,217,0.5222084835961135,25
